,N,ratio,QFI
0,20.0,0.0,-1.042863961921211e-06
1,20.0,0.050505050505050504,1.0203047443128517
2,20.0,0.10101010101010101,4.081216505736733
3,20.0,0.15151515151515152,9.182735776319442
4,20.0,0.20202020202020202,16.32486411259998
5,20.0,0.25252525252525254,25.50760059098073
6,20.0,0.30303030303030304,36.73094490824736
7,20.0,0.35353535353535354,49.99489721840139
8,20.0,0.40404040404040403,65.29945746124034
9,20.0,0.45454545454545453,82.64462527743378
10,20.0,0.5050505050505051,102.03038766233331
11,20.0,0.5555555555555556,123.45636457522514
12,20.0,0.6060606060606061,146.91622835497716
13,20.0,0.6565656565656566,172.3413888930864
14,20.0,0.7070707070707071,199.25362866012807
15,20.0,0.7575757575757576,225.70365087345394
16,20.0,0.8080808080808081,249.13813679418243
17,20.0,0.8585858585858586,283.4909245613448
18,20.0,0.9090909090909091,388.20134478404174
19,20.0,0.9595959595959596,609.7662704412339
20,20.0,1.0101010101010102,873.2465803076295
21,20.0,1.0606060606060606,1069.1083467486499
22,20.0,1.1111111111111112,1172.7886692015481
23,20.0,1.1616161616161615,1215.8729170958154
24,20.0,1.2121212121212122,1231.4542823600991
25,20.0,1.2626262626262625,1238.4989750749723
26,20.0,1.3131313131313131,1245.1932421591794
27,20.0,1.3636363636363635,1254.180996669744
28,20.0,1.4141414141414141,1265.7653303121963
29,20.0,1.4646464646464645,1279.439165670082
30,20.0,1.5151515151515151,1294.5258910226805
31,20.0,1.5656565656565655,1310.4132125633853
32,20.0,1.6161616161616161,1326.6170335769411
33,20.0,1.6666666666666667,1342.780849413661
34,20.0,1.7171717171717171,1358.6547524706561
35,20.0,1.7676767676767677,1374.071366676044
36,20.0,1.8181818181818181,1388.9246094803916
37,20.0,1.8686868686868687,1403.152765208165
38,20.0,1.9191919191919191,1416.7255868362301
39,20.0,1.9696969696969697,1429.6347686378967
40,20.0,2.0202020202020203,1441.887004420305
41,20.0,2.0707070707070705,1453.498957514801
42,20.0,2.121212121212121,1464.4937103797088
43,20.0,2.1717171717171717,1474.8981925412102
44,20.0,2.2222222222222223,1484.7414038168076
45,20.0,2.2727272727272725,1494.0531711177273
46,20.0,2.323232323232323,1502.8632838122599
47,20.0,2.3737373737373737,1511.2009231403026
48,20.0,2.4242424242424243,1519.094276288477
49,20.0,2.474747474747475,1526.5703167667011
50,20.0,2.525252525252525,1533.6546527914115
51,20.0,2.5757575757575757,1540.3714830807642
52,20.0,2.6262626262626263,1546.7435697366477
53,20.0,2.676767676767677,1552.7922698404395
54,20.0,2.727272727272727,1558.537570193124
55,20.0,2.7777777777777777,1563.9981431019391
56,20.0,2.8282828282828283,1569.1914287391355
57,20.0,2.878787878787879,1574.1336769973975
58,20.0,2.929292929292929,1578.8400444076353
59,20.0,2.9797979797979797,1583.324652828239
60,20.0,3.0303030303030303,1587.600667126734
61,20.0,3.080808080808081,1591.6803418469813
62,20.0,3.131313131313131,1595.5751062989316
63,20.0,3.1818181818181817,1599.2956208021533
64,20.0,3.2323232323232323,1602.8518062832857
65,20.0,3.282828282828283,1606.2529493954605
66,20.0,3.3333333333333335,1609.5076953826956
67,20.0,3.3838383838383836,1612.6241231062838
68,20.0,3.4343434343434343,1615.6097919881875
69,20.0,3.484848484848485,1618.4717592204204
70,20.0,3.5353535353535355,1621.2166187603348
71,20.0,3.5858585858585856,1623.8505694909038
72,20.0,3.6363636363636362,1626.3793904000984
73,20.0,3.686868686868687,1628.808509200835
74,20.0,3.7373737373737375,1631.1430218298851
75,20.0,3.7878787878787876,1633.387699226276
76,20.0,3.8383838383838382,1635.5470303019827
77,20.0,3.888888888888889,1637.6252257264969
78,20.0,3.9393939393939394,1639.6262421133902
79,20.0,3.9898989898989896,1641.5538207765912
80,20.0,4.040404040404041,1643.4114553850259
81,20.0,4.090909090909091,1645.2024613806996
82,20.0,4.141414141414141,1646.9299473818398
83,20.0,4.191919191919192,1648.5968552863544
84,20.0,4.242424242424242,1650.205953212823
85,20.0,4.292929292929293,1651.7598564090054
86,20.0,4.343434343434343,1653.2610487394497
87,20.0,4.393939393939394,1654.7118535241366
88,20.0,4.444444444444445,1656.1144896310323
89,20.0,4.494949494949495,1657.4710482770254
90,20.0,4.545454545454545,1658.783503940376
91,20.0,4.595959595959596,1660.0537415270098
92,20.0,4.646464646464646,1661.283537423359
93,20.0,4.696969696969697,1662.4745730449595
94,20.0,4.747474747474747,1663.6284590475366
95,20.0,4.797979797979798,1664.7467073460814
96,20.0,4.848484848484849,1665.830759866153
97,20.0,4.898989898989899,1666.8819958299032
98,20.0,4.94949494949495,1667.9017121966974
99,20.0,5.0,1668.8911518167195
100,40.0,0.0,1.5098414728448324e-06
101,40.0,0.050505050505050504,4.081215806600871
102,40.0,0.10101010101010101,16.324862458420025
103,40.0,0.15151515151515152,36.73094693687205
104,40.0,0.20202020202020202,65.29945684804123
105,40.0,0.25252525252525254,102.03040408856697
106,40.0,0.30303030303030304,146.92378122224525
107,40.0,0.35353535353535354,199.9795900386132
108,40.0,0.40404040404040403,261.19783321382226
109,40.0,0.45454545454545453,330.5785050439176
110,40.0,0.5050505050505051,408.1216111607388
111,40.0,0.5555555555555556,493.8271459190095
112,40.0,0.6060606060606061,587.6951179428769
113,40.0,0.6565656565656566,689.7254483008604
114,40.0,0.7070707070707071,799.9130793283607
115,40.0,0.7575757575757576,918.0888523138993
116,40.0,0.8080808080808081,1041.979491574918
117,40.0,0.8585858585858586,1176.991685318118
118,40.0,0.9090909090909091,1658.622628876642
119,40.0,0.9595959595959596,3749.1544520609723
