,N,ratio,phi,err,var,abs_deriv
0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.0,4.0,0.001,0.22493030441930065,0.34020878244177144,2.5931329839331814
2,6.0,4.0,0.0011721022975334804,0.22492584906371446,0.4672239504658098,3.038947378363403
3,6.0,4.0,0.0013738237958832624,0.22493044944142276,0.6415751442512053,3.561029029898322
4,6.0,4.0,0.0016102620275609393,0.2249444229789647,0.8808118843061302,4.172211853758969
5,6.0,4.0,0.0018873918221350976,0.2249764255228253,1.2089923090283161,4.887364801399861
6,6.0,4.0,0.00221221629107045,0.22502199899202519,1.6588491115043746,5.723721101254508
7,6.0,4.0,0.002592943797404667,0.2250929715256855,2.2750351780405142,6.700884368082185
8,6.0,4.0,0.0030391953823131978,0.22519591990664173,3.118116127005525,7.841255858206811
9,6.0,4.0,0.003562247890262444,0.22534095052526232,4.269839909649997,9.169922689250617
10,6.0,4.0,0.0041753189365604,0.22554428133687857,5.839930730076432,10.714502927333221
11,6.0,4.0,0.004893900918477494,0.22582680327669333,7.974224290929451,12.504569266908002
12,6.0,4.0,0.005736152510448681,0.22621719327604126,10.864019258805877,14.570338910445404
13,6.0,4.0,0.006723357536499335,0.22675518365642022,14.755711189307176,16.940368345938232
14,6.0,4.0,0.007880462815669913,0.22749494538313345,19.958134004703513,19.637591221107744
15,6.0,4.0,0.009236708571873866,0.228510237583604,26.8430757820079,22.673077728145554
16,6.0,4.0,0.010826367338740546,0.2299016233967464,35.83061107522999,26.036647867602696
17,6.0,4.0,0.01268961003167922,0.23180482292582144,47.346459887960165,29.68392245975676
18,6.0,4.0,0.01487352107293511,0.23440281019517836,61.73492683085372,33.519895409477364
19,6.0,4.0,0.017433288221999882,0.23793967434054009,79.11319344219511,37.38157493610097
20,6.0,4.0,0.020433597178569417,0.24273790766862974,99.17043763918196,41.02546486137337
21,6.0,4.0,0.02395026619987486,0.24921669105830258,120.96027923976297,44.13105043646023
22,6.0,4.0,0.02807216203941177,0.25790743190188403,142.80654473009537,46.335110028611815
23,6.0,4.0,0.03290344562312668,0.26945630061840514,162.50006886267803,47.308418677694156
24,6.0,4.0,0.03856620421163472,0.2845869920516055,177.9136910993892,46.869426508134744
25,6.0,4.0,0.04520353656360243,0.3039678234936215,187.9173322673637,45.09784663965537
26,6.0,4.0,0.05298316906283707,0.3278822655438941,193.13614549208367,42.385162509622766
27,6.0,4.0,0.06210169418915616,0.35561946209728484,196.00449033988312,39.36837507653924
28,6.0,4.0,0.0727895384398315,0.38481159966019907,199.97679016555986,36.74867135201594
29,6.0,4.0,0.08531678524172806,0.41170764435154616,208.340735290282,35.05889029946829
30,6.0,4.0,0.1,0.433518637174327,223.21008864097016,34.462687123352
31,11.0,4.0,0.001,0.10300054548133003,4.407850288428046,20.38327167793015
32,11.0,4.0,0.0011721022975334804,0.10303505286609044,6.043367991795456,23.85912550948141
33,11.0,4.0,0.0013738237958832624,0.103091134422309,8.279519683231724,27.911376357370173
34,11.0,4.0,0.0016102620275609393,0.10317540826756583,11.331372806050998,32.62609286804596
35,11.0,4.0,0.0018873918221350976,0.10329758056569947,15.48637153883991,38.09646575003782
36,11.0,4.0,0.00221221629107045,0.10347075657679498,21.124198453713113,44.419380240382004
37,11.0,4.0,0.002592943797404667,0.10371304425179906,28.7389588727763,51.68947644689934
38,11.0,4.0,0.0030391953823131978,0.10404961284135697,38.95957122429394,59.98830842363222
39,11.0,4.0,0.003562247890262444,0.10451467428807534,52.56083058197589,69.36714787844363
40,11.0,4.0,0.0041753189365604,0.10515510669594787,70.45189559481187,79.82078104571576
41,11.0,4.0,0.004893900918477494,0.10603470438514724,93.6184212059678,91.2499481763093
42,11.0,4.0,0.005736152510448681,0.10723988239879075,122.98719462903895,103.41263840102931
43,11.0,4.0,0.006723357536499335,0.10888721082553984,159.17969017686463,115.86891871227778
44,11.0,4.0,0.007880462815669913,0.11113225093747062,202.14083477566092,127.93427623805131
45,11.0,4.0,0.009236708571873866,0.11418061811564764,250.6994973502195,138.67058314518763
46,11.0,4.0,0.010826367338740546,0.11829844033680877,302.24228359921034,146.95981347811207
47,11.0,4.0,0.01268961003167922,0.12381878284337729,352.82516869223724,151.70267833915506
48,11.0,4.0,0.01487352107293511,0.13113185900607782,398.04971542075845,152.14596559529227
49,11.0,4.0,0.017433288221999882,0.14063247669404955,434.6945644859119,148.25402042936886
50,11.0,4.0,0.020433597178569417,0.1525748800786169,462.44572207733427,140.944244448563
51,11.0,4.0,0.02395026619987486,0.1667814350604133,484.63893256482993,131.99620447835233
52,11.0,4.0,0.02807216203941177,0.18226586717584461,507.36820019462607,123.58230060220676
53,11.0,4.0,0.03290344562312668,0.19716092480394473,537.4421481519438,117.58312943183904
54,11.0,4.0,0.03856620421163472,0.20955686941658705,580.3486340958742,114.95889520935138
55,11.0,4.0,0.04520353656360243,0.21903844759911703,639.002728134645,115.40669484384476
56,11.0,4.0,0.05298316906283707,0.22738409683347047,713.4556042906601,117.46903197087845
57,11.0,4.0,0.06210169418915616,0.23750515540049058,801.9629457074305,119.23509721472985
58,11.0,4.0,0.0727895384398315,0.2516230882103638,903.9598219919313,119.48794052575334
59,11.0,4.0,0.08531678524172806,0.27017613978520527,1023.3361721621089,118.40285390822243
60,11.0,4.0,0.1,0.2925734534621585,1167.9219636937444,116.80784047712412
61,16.0,4.0,0.001,0.058316732773332304,23.276800103383724,82.73103433498831
62,16.0,4.0,0.0011721022975334804,0.05841171228916753,31.76163375861362,96.48315121267865
63,16.0,4.0,0.0013738237958832624,0.058548690923521295,43.23144686527529,112.30076019209467
64,16.0,4.0,0.0016102620275609393,0.058742406033062584,58.64424447195327,130.36498737721084
65,16.0,4.0,0.0018873918221350976,0.05901303956455196,79.18807099827185,150.79324864462566
66,16.0,4.0,0.00221221629107045,0.059388537603458746,106.27140050833165,173.5823528395894
67,16.0,4.0,0.002592943797404667,0.05990694649553279,141.4495374869699,198.5288294986427
68,16.0,4.0,0.0030391953823131978,0.06062006778469473,186.23914489996966,225.1225849257955
69,16.0,4.0,0.003562247890262444,0.06159817317566894,241.77303485296676,252.42717011122227
70,16.0,4.0,0.0041753189365604,0.06293577764382052,308.26828711831655,278.9759864260384
71,16.0,4.0,0.004893900918477494,0.06475878101634745,384.37418747630886,302.74601987783257
72,16.0,4.0,0.005736152510448681,0.06723199257910409,466.65913583760033,321.30974942844057
73,16.0,4.0,0.006723357536499335,0.07056474851697975,549.6793008839871,332.25145652385964
74,16.0,4.0,0.007880462815669913,0.0750074929463179,627.1293575036698,333.8673238465506
75,16.0,4.0,0.009236708571873866,0.08082296659978909,694.1090817853454,325.9710836614414
76,16.0,4.0,0.010826367338740546,0.08820085350556728,749.6339402760518,310.42152842917795
77,16.0,4.0,0.01268961003167922,0.0970821008370427,797.8466877452724,290.95147109788303
78,16.0,4.0,0.01487352107293511,0.10692309578377975,846.9229985710479,272.1763832043124
79,16.0,4.0,0.017433288221999882,0.11662603406002407,906.2377213722716,258.1223202178861
80,16.0,4.0,0.020433597178569417,0.12499639799418871,983.4297523753262,250.88469790756577
81,16.0,4.0,0.02395026619987486,0.13164188434537,1082.6029323402342,249.94273012278663
82,16.0,4.0,0.02807216203941177,0.13743895996101688,1204.0740077500204,252.4740406446499
83,16.0,4.0,0.03290344562312668,0.14394859906446977,1346.1953502090528,254.88636307886316
84,16.0,4.0,0.03856620421163472,0.1522954610050749,1509.5770941220276,255.1177575158838
85,16.0,4.0,0.04520353656360243,0.16244054937100322,1701.3239950107493,253.92125973986398
86,16.0,4.0,0.05298316906283707,0.17368887357005758,1934.1533240343783,253.2056840217397
87,16.0,4.0,0.06210169418915616,0.18617350634140387,2221.0090141300393,253.13796379203364
88,16.0,4.0,0.0727895384398315,0.20120622547084382,2573.8610116366476,252.145447684907
89,16.0,4.0,0.08531678524172806,0.22004031001815008,3009.301896944637,249.3047948300608
90,16.0,4.0,0.1,0.2436459855868166,3550.904752778897,244.57398027104196
