,ratio,phi,est_err_homod,std,abs_deriv
0,0.1,0.0,0.25003136145987315,1.0001378620487524,4.0000496586075736
1,0.1,0.0,0.25011148374841696,1.0004443372198313,3.9999936117533963
2,0.1,0.39269908169872414,0.2702156022290714,0.9990944680823934,3.6973974109586214
3,0.1,0.7853981633974483,0.3534034251081788,0.9996930045025701,2.8287586748672804
4,0.1,1.1780972450961724,0.6530863662930246,0.9997082998554898,1.5307444029645292
5,0.1,1.5707963267948966,787.7512993557874,0.9996907178254381,0.0012690435657078216
6,0.1,1.9634954084936207,0.6533016738652786,1.001216493377738,1.532548489358693
7,0.1,2.356194490192345,0.35370879621893503,1.0001295242787518,2.827550614997151
8,0.1,2.748893571891069,0.27045700470666634,0.9994885141313925,3.695554179546664
9,0.11959798994974875,0.0,0.2089375769046892,0.9996897498042054,4.784633595421817
10,0.11959798994974875,0.39269908169872414,0.2266395013883351,1.001322173605494,4.418127323223237
11,0.11959798994974875,0.7853981633974483,0.2957017175443271,1.0001297982922623,3.3822251916488724
12,0.11959798994974875,1.1780972450961724,0.5458465946400018,0.9998050588983455,1.8316594235743826
13,0.11959798994974875,1.5707963267948966,3416.1861629878636,0.9998810931550427,0.000292689287249067
14,0.11959798994974875,1.9634954084936207,0.5462022554612259,1.0003979639231575,1.8315522389749161
15,0.11959798994974875,2.356194490192345,0.29547186778849815,0.9990769118416812,3.381292842934309
16,0.11959798994974875,2.748893571891069,0.2264834267824419,1.001091715423863,4.420154400019315
17,0.1391959798994975,0.0,0.17964490779220163,1.0002998547353807,5.568206007222008
18,0.1391959798994975,0.39269908169872414,0.194575827749379,1.000855050223877,5.143778966794457
19,0.1391959798994975,0.7853981633974483,0.25425018148207,1.0006242538353687,3.9355891429557692
20,0.1391959798994975,1.1780972450961724,0.46908532539465103,0.9995195187008044,2.130784027106131
21,0.1391959798994975,1.5707963267948966,19184.74587805658,1.0010848900912157,5.2181295309011715e-05
22,0.1391959798994975,1.9634954084936207,0.4691707757894233,0.9995539392616977,2.1304693106254446
23,0.1391959798994975,2.356194490192345,0.2540385121108307,1.0002914328541712,3.9375582251000143
24,0.1391959798994975,2.748893571891069,0.1944361524314839,1.0003034397188069,5.1446370811688285
25,0.15879396984924624,0.0,0.15758572644704621,1.0008547719746328,6.351176559832349
26,0.15879396984924624,0.39269908169872414,0.17043463445359597,0.999986164435343,5.867270861003361
27,0.15879396984924624,0.7853981633974483,0.22273036144297423,1.0003984989332784,4.491522810146433
28,0.15879396984924624,1.1780972450961724,0.41136914531097407,1.0000855519208076,2.4311146407560393
29,0.15879396984924624,1.5707963267948966,1476.8208137329937,0.9999912662740008,0.0006771243044349436
30,0.15879396984924624,1.9634954084936207,0.41165761885334984,1.0003215779535761,2.4299843659882163
31,0.15879396984924624,2.356194490192345,0.22244107982927108,0.9990484550498856,4.49129475462302
32,0.15879396984924624,2.748893571891069,0.1703404170300343,0.9996871438270618,5.868760692600616
33,0.17839195979899497,0.0,0.14010980212734275,0.9997832639400277,7.135712482352565
34,0.17839195979899497,0.39269908169872414,0.151412858952932,0.9984820411170348,6.594433577318698
35,0.17839195979899497,0.7853981633974483,0.19804740604012874,0.9992801294511048,5.045661286008607
36,0.17839195979899497,1.1780972450961724,0.3665856289940247,1.0004895653945285,2.7292110935719096
37,0.17839195979899497,1.5707963267948966,662.4583971930067,0.998245589323713,0.0015068804223080515
38,0.17839195979899497,1.9634954084936207,0.36584947552561925,0.9990874843848467,2.730870347564251
39,0.17839195979899497,2.356194490192345,0.1980967278918559,0.9994544633847496,5.045285068667906
40,0.17839195979899497,2.748893571891069,0.15195065772541186,1.0020753914113547,6.59474204594884
41,0.19798994974874373,0.0,0.12623029022401863,0.9997821357476827,7.920302915990982
42,0.19798994974874373,0.39269908169872414,0.1365538831566661,0.9991883527277123,7.317172749905319
43,0.19798994974874373,0.7853981633974483,0.17801535401823032,0.9974521319235746,5.603180340395957
44,0.19798994974874373,1.1780972450961724,0.32963969399700466,0.9993170845168521,3.0315435389462917
45,0.19798994974874373,1.5707963267948966,3186.518997565576,1.0004566025401953,0.0003139653657500615
46,0.19798994974874373,1.9634954084936207,0.32962225470935036,0.998458089530787,3.0290979303299563
47,0.19798994974874373,2.356194490192345,0.17859993559506415,1.0001596504941774,5.600000062496204
48,0.19798994974874373,2.748893571891069,0.13652605793271647,0.9988935421318883,7.316504682382089
49,0.21758793969849247,0.0,0.11484570938193968,0.9996773841129625,8.704525310461175
50,0.21758793969849247,0.39269908169872414,0.12439627417221924,1.0002283281214612,8.040661464962403
51,0.21758793969849247,0.7853981633974483,0.16241776415959297,0.9995088424913813,6.153937949233533
52,0.21758793969849247,1.1780972450961724,0.3003256149324479,1.000096243283051,3.3300397753551656
53,0.21758793969849247,1.5707963267948966,1300.0076816947078,0.9994177625037995,0.0007687783515255424
54,0.21758793969849247,1.9634954084936207,0.30034476512035085,1.0005482928493041,3.3313325519370225
55,0.21758793969849247,2.356194490192345,0.16243920744828944,0.9996907247393653,6.154245273928739
56,0.21758793969849247,2.748893571891069,0.12431651052087957,0.9995322890334651,8.040221567074864
57,0.23718592964824123,0.0,0.10534034542595692,0.9994685345401871,9.487993707431949
58,0.23718592964824123,0.39269908169872414,0.1139730888286378,0.9990848494324213,8.76597150871797
59,0.23718592964824123,0.7853981633974483,0.1491430293613372,1.0005426228541798,6.708611372175558
60,0.23718592964824123,1.1780972450961724,0.2755109350137352,1.0002601496452799,3.6305642445568025
61,0.23718592964824123,1.5707963267948966,4768.07734197161,1.000368627508936,0.0002098054531756571
